Parámetro,Fecha,Hora,Valor,Unidad
HR,01/07/2019,23:00 - 0:00,61,%
HR,01/07/2019,0:00 - 1:00,61,%
HR,01/07/2019,16:00 - 17:00,64,%
HR,01/07/2019,17:00 - 18:00,64,%
HR,01/07/2019,18:00 - 19:00,63,%
HR,01/07/2019,19:00 - 20:00,66,%
HR,01/07/2019,20:00 - 21:00,67,%
HR,01/07/2019,21:00 - 22:00,71,%
HR,01/07/2019,22:00 - 23:00,70,%
HR,02/07/2019,23:00 - 0:00,64,%
HR,02/07/2019,0:00 - 1:00,61,%
HR,02/07/2019,1:00 - 2:00,56,%
HR,02/07/2019,2:00 - 3:00,49,%
HR,02/07/2019,3:00 - 4:00,44,%
HR,02/07/2019,4:00 - 5:00,38,%
HR,02/07/2019,5:00 - 6:00,30,%
HR,02/07/2019,6:00 - 7:00,28,%
HR,02/07/2019,7:00 - 8:00,25,%
HR,02/07/2019,8:00 - 9:00,26,%
HR,02/07/2019,9:00 - 10:00,27,%
HR,02/07/2019,10:00 - 11:00,35,%
HR,02/07/2019,11:00 - 12:00,43,%
HR,02/07/2019,12:00 - 13:00,44,%
HR,02/07/2019,13:00 - 14:00,44,%
HR,02/07/2019,14:00 - 15:00,65,%
HR,02/07/2019,15:00 - 16:00,67,%
HR,02/07/2019,16:00 - 17:00,62,%
HR,02/07/2019,17:00 - 18:00,59,%
HR,02/07/2019,18:00 - 19:00,62,%
HR,02/07/2019,19:00 - 20:00,70,%
HR,02/07/2019,20:00 - 21:00,66,%
HR,02/07/2019,21:00 - 22:00,67,%
HR,02/07/2019,22:00 - 23:00,68,%
HR,03/07/2019,23:00 - 0:00,67,%
HR,03/07/2019,0:00 - 1:00,64,%
HR,03/07/2019,1:00 - 2:00,55,%
HR,03/07/2019,2:00 - 3:00,49,%
HR,03/07/2019,3:00 - 4:00,45,%
HR,03/07/2019,4:00 - 5:00,39,%
HR,03/07/2019,5:00 - 6:00,34,%
HR,03/07/2019,6:00 - 7:00,35,%
HR,03/07/2019,7:00 - 8:00,45,%
HR,03/07/2019,8:00 - 9:00,41,%
HR,03/07/2019,9:00 - 10:00,61,%
HR,03/07/2019,10:00 - 11:00,71,%
HR,03/07/2019,11:00 - 12:00,68,%
HR,03/07/2019,12:00 - 13:00,69,%
HR,03/07/2019,13:00 - 14:00,68,%
HR,03/07/2019,14:00 - 15:00,74,%
HR,03/07/2019,15:00 - 16:00,80,%
HR,03/07/2019,16:00 - 17:00,82,%
HR,03/07/2019,17:00 - 18:00,81,%
HR,03/07/2019,18:00 - 19:00,80,%
HR,03/07/2019,19:00 - 20:00,81,%
HR,03/07/2019,20:00 - 21:00,84,%
HR,03/07/2019,21:00 - 22:00,85,%
HR,03/07/2019,22:00 - 23:00,86,%
HR,04/07/2019,23:00 - 0:00,82,%
HR,04/07/2019,0:00 - 1:00,77,%
HR,04/07/2019,1:00 - 2:00,66,%
HR,04/07/2019,2:00 - 3:00,54,%
HR,04/07/2019,3:00 - 4:00,48,%
HR,04/07/2019,4:00 - 5:00,38,%
HR,04/07/2019,5:00 - 6:00,33,%
HR,04/07/2019,6:00 - 7:00,31,%
HR,04/07/2019,7:00 - 8:00,26,%
HR,04/07/2019,8:00 - 9:00,25,%
HR,04/07/2019,9:00 - 10:00,27,%
HR,04/07/2019,10:00 - 11:00,29,%
HR,04/07/2019,11:00 - 12:00,30,%
HR,04/07/2019,12:00 - 13:00,34,%
HR,04/07/2019,13:00 - 14:00,46,%
HR,04/07/2019,14:00 - 15:00,49,%
HR,04/07/2019,15:00 - 16:00,49,%
HR,04/07/2019,16:00 - 17:00,53,%
HR,04/07/2019,17:00 - 18:00,57,%
HR,04/07/2019,18:00 - 19:00,58,%
HR,04/07/2019,19:00 - 20:00,60,%
HR,04/07/2019,20:00 - 21:00,63,%
HR,04/07/2019,21:00 - 22:00,66,%
HR,04/07/2019,22:00 - 23:00,68,%
HR,05/07/2019,23:00 - 0:00,64,%
HR,05/07/2019,0:00 - 1:00,58,%
HR,05/07/2019,1:00 - 2:00,51,%
HR,05/07/2019,2:00 - 3:00,44,%
HR,05/07/2019,3:00 - 4:00,36,%
HR,05/07/2019,4:00 - 5:00,31,%
HR,05/07/2019,5:00 - 6:00,28,%
HR,05/07/2019,6:00 - 7:00,28,%
HR,05/07/2019,7:00 - 8:00,31,%
HR,05/07/2019,8:00 - 9:00,32,%
HR,05/07/2019,9:00 - 10:00,39,%
HR,05/07/2019,10:00 - 11:00,61,%
HR,05/07/2019,11:00 - 12:00,76,%
HR,05/07/2019,12:00 - 13:00,77,%
HR,05/07/2019,13:00 - 14:00,74,%
HR,05/07/2019,14:00 - 15:00,71,%
HR,05/07/2019,15:00 - 16:00,77,%
HR,05/07/2019,16:00 - 17:00,87,%
HR,05/07/2019,17:00 - 18:00,87,%
HR,05/07/2019,18:00 - 19:00,88,%
HR,05/07/2019,19:00 - 20:00,88,%
HR,05/07/2019,20:00 - 21:00,89,%
HR,05/07/2019,21:00 - 22:00,91,%
HR,05/07/2019,22:00 - 23:00,86,%
HR,06/07/2019,23:00 - 0:00,84,%
HR,06/07/2019,0:00 - 1:00,74,%
HR,06/07/2019,1:00 - 2:00,65,%
HR,06/07/2019,2:00 - 3:00,56,%
HR,06/07/2019,3:00 - 4:00,49,%
HR,06/07/2019,4:00 - 5:00,47,%
HR,06/07/2019,5:00 - 6:00,43,%
HR,06/07/2019,6:00 - 7:00,38,%
HR,06/07/2019,7:00 - 8:00,34,%
HR,06/07/2019,8:00 - 9:00,34,%
HR,06/07/2019,9:00 - 10:00,31,%
HR,06/07/2019,10:00 - 11:00,29,%
HR,06/07/2019,11:00 - 12:00,30,%
HR,06/07/2019,12:00 - 13:00,33,%
HR,06/07/2019,13:00 - 14:00,36,%
HR,06/07/2019,14:00 - 15:00,39,%
HR,06/07/2019,15:00 - 16:00,42,%
HR,06/07/2019,16:00 - 17:00,45,%
HR,06/07/2019,17:00 - 18:00,50,%
HR,06/07/2019,18:00 - 19:00,51,%
HR,06/07/2019,19:00 - 20:00,56,%
HR,06/07/2019,20:00 - 21:00,61,%
HR,06/07/2019,21:00 - 22:00,65,%
HR,06/07/2019,22:00 - 23:00,64,%
HR,07/07/2019,23:00 - 0:00,61,%
HR,07/07/2019,0:00 - 1:00,59,%
HR,07/07/2019,1:00 - 2:00,56,%
HR,07/07/2019,2:00 - 3:00,48,%
HR,07/07/2019,3:00 - 4:00,36,%
HR,07/07/2019,4:00 - 5:00,31,%
HR,07/07/2019,5:00 - 6:00,30,%
HR,07/07/2019,6:00 - 7:00,23,%
HR,07/07/2019,7:00 - 8:00,22,%
HR,07/07/2019,8:00 - 9:00,22,%
HR,07/07/2019,9:00 - 10:00,22,%
HR,07/07/2019,10:00 - 11:00,23,%
HR,07/07/2019,11:00 - 12:00,27,%
HR,07/07/2019,12:00 - 13:00,33,%
HR,07/07/2019,13:00 - 14:00,37,%
HR,07/07/2019,14:00 - 15:00,41,%
HR,07/07/2019,15:00 - 16:00,46,%
HR,07/07/2019,16:00 - 17:00,48,%
HR,07/07/2019,17:00 - 18:00,50,%
HR,07/07/2019,18:00 - 19:00,55,%
HR,07/07/2019,19:00 - 20:00,58,%
HR,07/07/2019,20:00 - 21:00,61,%
HR,07/07/2019,21:00 - 22:00,65,%
HR,07/07/2019,22:00 - 23:00,66,%
HR,08/07/2019,23:00 - 0:00,60,%
HR,08/07/2019,0:00 - 1:00,53,%
HR,08/07/2019,1:00 - 2:00,47,%
HR,08/07/2019,2:00 - 3:00,41,%
HR,08/07/2019,3:00 - 4:00,36,%
HR,08/07/2019,4:00 - 5:00,35,%
HR,08/07/2019,5:00 - 6:00,33,%
HR,08/07/2019,6:00 - 7:00,31,%
HR,08/07/2019,7:00 - 8:00,28,%
HR,08/07/2019,8:00 - 9:00,27,%
HR,08/07/2019,9:00 - 10:00,25,%
HR,08/07/2019,10:00 - 11:00,27,%
HR,08/07/2019,11:00 - 12:00,31,%
HR,08/07/2019,12:00 - 13:00,34,%
HR,08/07/2019,13:00 - 14:00,38,%
HR,08/07/2019,14:00 - 15:00,41,%
HR,08/07/2019,15:00 - 16:00,42,%
HR,08/07/2019,16:00 - 17:00,52,%
HR,08/07/2019,17:00 - 18:00,65,%
HR,08/07/2019,18:00 - 19:00,69,%
HR,08/07/2019,19:00 - 20:00,70,%
HR,08/07/2019,20:00 - 21:00,72,%
HR,08/07/2019,21:00 - 22:00,72,%
HR,08/07/2019,22:00 - 23:00,74,%
HR,09/07/2019,23:00 - 0:00,67,%
HR,09/07/2019,0:00 - 1:00,64,%
HR,09/07/2019,1:00 - 2:00,58,%
HR,09/07/2019,2:00 - 3:00,51,%
HR,09/07/2019,3:00 - 4:00,43,%
HR,09/07/2019,4:00 - 5:00,37,%
HR,09/07/2019,5:00 - 6:00,30,%
HR,09/07/2019,6:00 - 7:00,26,%
HR,09/07/2019,7:00 - 8:00,21,%
HR,09/07/2019,8:00 - 9:00,15,%
HR,09/07/2019,9:00 - 10:00,17,%
HR,09/07/2019,10:00 - 11:00,25,%
HR,09/07/2019,11:00 - 12:00,38,%
HR,09/07/2019,12:00 - 13:00,60,%
HR,09/07/2019,13:00 - 14:00,68,%
HR,09/07/2019,14:00 - 15:00,67,%
HR,09/07/2019,15:00 - 16:00,70,%
HR,09/07/2019,16:00 - 17:00,72,%
HR,09/07/2019,17:00 - 18:00,72,%
HR,09/07/2019,18:00 - 19:00,71,%
HR,09/07/2019,19:00 - 20:00,70,%
HR,09/07/2019,20:00 - 21:00,70,%
HR,09/07/2019,21:00 - 22:00,73,%
HR,09/07/2019,22:00 - 23:00,77,%
HR,10/07/2019,0:00 - 1:00,61,%
HR,10/07/2019,1:00 - 2:00,51,%
HR,10/07/2019,2:00 - 3:00,43,%
HR,10/07/2019,3:00 - 4:00,38,%
HR,10/07/2019,4:00 - 5:00,32,%
HR,10/07/2019,5:00 - 6:00,29,%
HR,10/07/2019,6:00 - 7:00,26,%
HR,10/07/2019,7:00 - 8:00,18,%
HR,10/07/2019,8:00 - 9:00,16,%
HR,10/07/2019,9:00 - 10:00,17,%
HR,10/07/2019,10:00 - 11:00,17,%
HR,10/07/2019,11:00 - 12:00,32,%
HR,10/07/2019,12:00 - 13:00,34,%
HR,10/07/2019,13:00 - 14:00,36,%
HR,10/07/2019,14:00 - 15:00,35,%
HR,10/07/2019,15:00 - 16:00,40,%
HR,10/07/2019,16:00 - 17:00,45,%
HR,10/07/2019,17:00 - 18:00,48,%
HR,10/07/2019,18:00 - 19:00,47,%
HR,10/07/2019,19:00 - 20:00,45,%
HR,10/07/2019,20:00 - 21:00,45,%
HR,10/07/2019,21:00 - 22:00,47,%
HR,10/07/2019,22:00 - 23:00,52,%
HR,11/07/2019,23:00 - 0:00,51,%
HR,11/07/2019,0:00 - 1:00,48,%
HR,11/07/2019,14:00 - 15:00,16,%
HR,11/07/2019,15:00 - 16:00,18,%
HR,11/07/2019,16:00 - 17:00,16,%
HR,11/07/2019,17:00 - 18:00,14,%
HR,11/07/2019,18:00 - 19:00,15,%
HR,11/07/2019,19:00 - 20:00,17,%
HR,11/07/2019,20:00 - 21:00,20,%
HR,11/07/2019,21:00 - 22:00,21,%
HR,11/07/2019,22:00 - 23:00,26,%
HR,12/07/2019,23:00 - 0:00,37,%
HR,12/07/2019,0:00 - 1:00,48,%
HR,12/07/2019,1:00 - 2:00,51,%
HR,12/07/2019,2:00 - 3:00,49,%
HR,12/07/2019,3:00 - 4:00,41,%
HR,12/07/2019,4:00 - 5:00,42,%
HR,12/07/2019,5:00 - 6:00,43,%
HR,12/07/2019,6:00 - 7:00,54,%
HR,12/07/2019,7:00 - 8:00,54,%
HR,12/07/2019,8:00 - 9:00,50,%
HR,12/07/2019,9:00 - 10:00,41,%
HR,12/07/2019,10:00 - 11:00,36,%
HR,12/07/2019,11:00 - 12:00,32,%
HR,12/07/2019,12:00 - 13:00,28,%
HR,12/07/2019,13:00 - 14:00,23,%
HR,12/07/2019,14:00 - 15:00,22,%
HR,12/07/2019,15:00 - 16:00,17,%
HR,12/07/2019,16:00 - 17:00,17,%
HR,12/07/2019,17:00 - 18:00,16,%
HR,12/07/2019,18:00 - 19:00,15,%
HR,12/07/2019,19:00 - 20:00,16,%
HR,12/07/2019,20:00 - 21:00,17,%
HR,12/07/2019,21:00 - 22:00,20,%
HR,12/07/2019,22:00 - 23:00,31,%
HR,13/07/2019,23:00 - 0:00,39,%
HR,13/07/2019,0:00 - 1:00,48,%
HR,13/07/2019,1:00 - 2:00,60,%
HR,13/07/2019,2:00 - 3:00,65,%
HR,13/07/2019,3:00 - 4:00,76,%
HR,13/07/2019,4:00 - 5:00,78,%
HR,13/07/2019,5:00 - 6:00,72,%
HR,13/07/2019,6:00 - 7:00,70,%
HR,13/07/2019,7:00 - 8:00,71,%
HR,13/07/2019,8:00 - 9:00,68,%
HR,13/07/2019,9:00 - 10:00,62,%
HR,13/07/2019,10:00 - 11:00,55,%
HR,13/07/2019,11:00 - 12:00,48,%
HR,13/07/2019,12:00 - 13:00,47,%
HR,13/07/2019,13:00 - 14:00,41,%
HR,13/07/2019,14:00 - 15:00,38,%
HR,13/07/2019,15:00 - 16:00,36,%
HR,13/07/2019,16:00 - 17:00,35,%
HR,13/07/2019,17:00 - 18:00,33,%
HR,13/07/2019,18:00 - 19:00,39,%
HR,13/07/2019,19:00 - 20:00,74,%
HR,13/07/2019,20:00 - 21:00,84,%
HR,13/07/2019,21:00 - 22:00,84,%
HR,13/07/2019,22:00 - 23:00,81,%
HR,14/07/2019,23:00 - 0:00,79,%
HR,14/07/2019,0:00 - 1:00,79,%
HR,14/07/2019,1:00 - 2:00,74,%
HR,14/07/2019,2:00 - 3:00,81,%
HR,14/07/2019,3:00 - 4:00,87,%
HR,14/07/2019,4:00 - 5:00,91,%
HR,14/07/2019,5:00 - 6:00,92,%
HR,14/07/2019,6:00 - 7:00,92,%
